525714904543	5257149045432792519079400711150478537803
7651310277926279743981957617505591300	7651310277926279743981957617505591300993
hackn	hackneyed
advic	advices
97991936185338020140707248162730431	9799193618533802014070724816273043134189
disal	disallowed
deftl	deftly
2702792109593543055579732660554	2702792109593543055579732660554677963552
disap	disapprove
commingled	commingled
10613	1061344455441921013361729962856948991933
illiterate	illiterate
22305550217222299706209749268609	2230555021722229970620974926860976278740
8661504474787	8661504474787261642499766714813830539479
57300	5730076893989007007392469746181285576466
647291481745105388060	6472914817451053880601097875059255371523
9625742442542054678576747819095948	9625742442542054678576747819095948650057
advis	adviser
846671380	8466713807546383471635428854957610942841
soldi	soldiers
2534279922013463805383	2534279922013463805383423696437674288625
4414534380337597173847772320	4414534380337597173847772320520653010378
392056189	3920561895421631986004793961133953226395
61244026	6124402686833955587060775816995439846956
2054427939636675910412682	2054427939636675910412682184337501574306
054785	0547854954620263256676813262435925020249
fashione	fashioned
thril	thrilling
9244761	9244761460668082264800168477411853742345
4496212836831	4496212836831368737516678051308259459977
01471174784648392412256765235934185540	0147117478464839241225676523593418554066
fashiona	fashionable
642533	6425336666311433321645213882557346329366
83188085436732780	8318808543673278068797716591116542244538
771953338420340399024476105601061277	7719533384203403990244761056010612777546
19290007452098959592011594	1929000745209895959201159412324102274845
569342	5693426085376230981047171826940937686754
64314890323337392676340911552	6431489032333739267634091155271897684298
manuals	manuals
770961683057941	7709616830579416743105192544863273588851
4010084	4010084303806314421837767503498134081693
indispensable	indispensablest
superimposing	superimposing
4522535500359683253374891862	4522535500359683253374891862786783594439
19586738	1958673806144240150243628895750320653369
challen	challenging
discr	discrowned
46822059392167335948505784	4682205939216733594850578496228079324226
unsupported	unsupported
7796973890514941120010934	7796973890514941120010934140073794061859
flows	flows
2160749469654989	2160749469654989210474443927871934536701
156300636443211162248373791056	1563006364432111622483737910562361135883
spoil	spoilt
dickens	dickens
onwa	onwards
unremittin	unremitting
382193952029279	3821939520292791797324709455969101640298
376018	3760181694031056909587141386804846359853
disbe	disbelief
besought	besought
5071817736417497632544367735036325	5071817736417497632544367735036325800040
870956708432252564333895997	8709567084322525643338959978124021641899
383130748972	3831307489724550572908568849609134632316
350708252600468212	3507082526004682124282043436724582447885
7857147002108731469325455792313475724364	7857147002108731469325455792313475724364
43081173173943388679657	4308117317394338867965739135764377642819
phill	phillips_
53190017642722275103944609964143932267	5319001764272227510394460996414393226725
philp	philpot
explosion	explosions
welc	welcomed
208323484710847170616087919522738825234	2083234847108471706160879195227388252347
11937	1193793237245385720960758227717848336161
041468	0414689481049167510352958972423818022881
handling	handling
welk	welkin
37357447083662153774709726601886562	3735744708366215377470972660188656210681
112018761853	1120187618531256710150212239401285668608
evanishe	evanished
8582121720231274167009740	8582121720231274167009740351431532131803
camping	camping
00653805084532572431553654	0065380508453257243155365442206766135233
756580	7565800211928270391042391966426911155333
860294066280	8602940662803255416535431518013714821941
90913544	9091354407852685476254126683398240534022
utopi	utopias
0345261	0345261665892577931395405145369730429462
rainy	rainy
0370229	0370229058048305273188495999415660653731
wollstonecraf	wollstonecraft
98496465105820	9849646510582093923982948879332036250944
duvilla	duvillard
96220936750588416	9622093675058841609752282328250433712970
2055916279022926	2055916279022926005921077105104481033928
raini	raining
9310531444716688351829205143	9310531444716688351829205143436092924931
289584962565	2895849625656881972792768694795806100573
raine	rained
deductio	deductions
822353499293	8223534992935822836851007810884634349983
79134654439319652541548294	7913465443931965254154829494577875758599
distant	distant
investme	investment
01654495938075063	0165449593807506342852930531311279659452
958958288190749004033159343607618960966	9589582881907490040331593436076189609669
60002742502722	6000274250272245157090630449636923093838
8361870877	8361870877172333555465482598906861201410
52011459	5201145990198475335843486129709292852942
232448615413264031	2324486154132640315784309553966710614680
67447363413698467328522605570126450	6744736341369846732852260557012645012334
holog	holograph
mutation	mutation
0434560669664	0434560669664568997469103739877128915933
33364	3336426719196899284953456104571933866522
spots	spots
21950726933755023	2195072693375502358215614249945382347811
encirclin	encircling
7001654671	7001654671681605343292907573031466562485
20036	20036
21367	2136758288423285957759412684479036912662
7279025670059258544310277046369110988005	7279025670059258544310277046369110988005
1188904172457053747075555058163	1188904172457053747075555058163283168724
aero	aeronautics
24281917479586619994441119620873	2428191747958661999444111962087304980643
9839974	9839974497204728788183120023338329803056
37601816940310569095871413868048	3760181694031056909587141386804846359853
railw	railways
691847294785807291560885103967819	6918472947858072915608851039678195942983
walls	walls
6675274086862740791285657699631378975303	6675274086862740791285657699631378975303
20757512877427399282486	2075751287742739928248669212856372400691
7901485158395404442839883817975112	7901485158395404442839883817975112453555
spout	spouter
perambulation	perambulations
9511878967	9511878967467070733778695925655427133400
wallo	wallowing
quar	quarters
87437435578196	8743743557819665117166183308811291202452
quilt	quilted
quan	quantum
3059212366771943252786753985589448	3059212366771943252786753985589448969709
0873576261006923021359580838145	0873576261006923021359580838145290642217
dilator	dilatory
loves	loves
horrifi	horrified
160011	1600117160338604710710015235631159734711
trott	trotted
quill	quills
540468342338610760823605782941948009334	5404683423386107608236057829419480093343
02076953932415509676268088	0207695393241550967626808876035724639139
0357877264680649549355746326	0357877264680649549355746326408186979718
73336334257685988361252720250944019430	7333633425768598836125272025094401943067
quav	quavering
incal	incalculable
36720845931643949	3672084593164394941881138607974670134709
205591627902292600	2055916279022926005921077105104481033928
incap	incapacity
1193793237245385720	1193793237245385720960758227717848336161
66541115373584912	6654111537358491279025465436902086941987
38746248313850214980401	3874624831385021498040168194079568721926
scientifically	scientifically
benedicti	benedictine
troth	troth
sacks	sacks
heartbreaking	heartbreaking
34230232810747488395040380984981	3423023281074748839504038098498186005616
26292896007258760156484055608	2629289600725876015648405560886131654118
7313477761341509652624483327093438984120	7313477761341509652624483327093438984120
333666338347684438072624307	3336663383476844380726243073190193635710
622387877223039635	6223878772230396359709132856830486160362
5198397660693358224779	5198397660693358224779136504562705766735
lett	letting
3503660416997329725	3503660416997329725088687696640355570716
lab	labyrinths
6521469602766258359905198704230017946	6521469602766258359905198704230017946553
employed	employed
513257434964510681479694782619701483	5132574349645106814796947826197014832043
021029603318588727333298779352570	0210296033185887273332987793525701823938
ambitious	ambitious
lan	lanyon
approvin	approving
spoon	spoons
686096896846408583341310178581427	6860968968464085833413101785814271095541
lar	largest
spoor	spoor
intermixe	intermixed
leth	lethal
lav	lavished
76156321810842898207706974138	7615632181084289820770697413870705326611
4291990696	4291990696311739778787508156022736882496
laz	lazying
187933	1879339076142074670288679685949854397894
60149676	6014967645550103653971251138583505085112
8582740369655329362236090572479	8582740369655329362236090572479794734434
aest	aesthetic
19030	1903039732725461782313636337592762265630
less	lessons
66495607812530491759401589514695496	6649560781253049175940158951469549652231
0814488	0814488732957847348490003019477888020460
559992	5599921057819137103018897920640888397476
5560955351079987185041352121	5560955351079987185041352121321534713770
83295487175260471	8329548717526047141130648472708872466971
inventions	inventions
were	weren
975771508108494435	9757715081084944350828545874991294385756
2838169433097501291854459692338	2838169433097501291854459692338873328861
1257763	1257763244738945205163693858513648425996
abdicate	abdicated
379399075216606923	3793990752166069238053369887956513728559
26046843614126	2604684361412652956519894291184887986819
36313585389023662557285424	3631358538902366255728542451601808048716
174189688354813164	1741896883548131643997437764158365242234
fugi	fugitives
hypothe	hypothesis
46623	4662370922646809671254061869502143176211
4432412441979491929162	4432412441979491929162052344213463956538
1211601239235679307823190770	1211601239235679307823190770288415814605
censure	censured
eradicat	eradication
667881902085595	6678819020855957081118538361661288487295
holie	holiest
204410213479003459841192	2044102134790034598411927024921557026873
22654	2265412913204052279071212820653775058280
83177869477780496	8317786947778049643439917625492165006086
05243704940215218754782516334708	0524370494021521875478251633470824303035
incalcul	incalculable
680485730260646776425850	6804857302606467764258503301836174306413
472866798344129301813134429	4728667983441293018131344299088234006652
682369935766872	6823699357668723462219641322516076261161
64058078108	6405807810818657337668157893827656450642
ensanguined	ensanguined
49894678	4989467873509295816526320722589923687684
quer	query
foregroun	foreground
718281	718281828459045235360287471352662497
managin	managing
74295634643716709397193060876963495328	7429563464371670939719306087696349532884
21338	2133896861735924509208014653125297779661
016544959380750634285293053131	0165449593807506342852930531311279659452
troph	trophy
10396558733549803850995143	1039655873354980385099514346350617536148
queb	quebec
lengths	lengths
scimi	scimitar
85406711744449324	8540671174444932479519572159419645863736
quen	quenched
flopp	floppy
901807	9018076406042138307308774460170842688272
95342762338253943990022498	9534276233825394399002249897288366026392
333110831711807234044326813737231209	3331108317118072340443268137372312096690
08371	0837147204067428996276720315410211504333
nnews	nnews
4694359374081585364819125280049	4694359374081585364819125280049207240421
pret	pretty
robbing	robbing
499102819759563955711753011	4991028197595639557117530118234803041810
quib	quibble
611792018698900673027082384103280213	6117920186989006730270823841032802134874
lef	leftmost
businessperso	businesspersons
preh	prehistoric
docu	documents
len	lent
pred	predilection
prep	preprints
presu	presupposed
2546108246351931647783837078295218	2546108246351931647783837078295218389645
lev	levy
prel	prelude
59530513769383	5953051376938375381543486981101990651706
doci	docile
0402153401026923964977275904729573320	0402153401026923964977275904729573320027
dilated	dilated
4053541300504824049966469785	4053541300504824049966469785580026289318
779295	7792952824679543730226347249535946630023
merel	merely
881886514916930245151	8818865149169302451512835579818112344900
6412795535364422869554305513087	6412795535364422869554305513087000098785
minutia	minutiae
1459091	1459091064841642678309949723674420175862
disto	distorted
98080952307756935885161602771952148899	9808095230775693588516160277195214889983
402196295572479329871328524799	4021962955724793298713285247999463893892
1901	1901157383418793070215408914993488416750
4699899666525731	4699899666525731556376458622518628230920
4651917675138077575448307953064925086002	4651917675138077575448307953064925086002
903785275571333409	9037852755713334098424501272585966924343
959468587453798950325	9594685874537989503257362809837592216229
miscarr	miscarried
84355364027643927779	8435536402764392777908638966566390166776
34337978931582039412878989728973298	3433797893158203941287898972897329881255
dethrone	dethronement
117289039443936653402942265145756	1172890394439366534029422651457568290749
70787563117610746428835593	7078756311761074642883559391598542167311
75446220611864991272496	7544622061186499127249643799875806537850
843074713267682830972031490498688844	8430747132676828309720314904986888445618
13625894180	1362589418097880156773789513103131573611
networks	networks
whatsoe	whatsoever
clay	clayton
hackney	hackneyed
does	doest
506380811606090840124222431476	5063808116060908401242224314761035633289
3391673583102728579723061998175868	3391673583102728579723061998175868700492
4518361856989088721	4518361856989088721789764694721246807900
71042845981608996101945	7104284598160899610194569164698383771826
916327801885250455848878272237670526	9163278018852504558488782722376705263811
merid	meridians
1912	1912909570798666994537650804079178524382
67303605612307	6730360561230710723922581504781379172731
quiz	quizzical
73674305	7367430574518726541401644692457679218575
quiv	quivering
242819174795866199944411196208	2428191747958661999444111962087304980643
presi	presidential
6227929862827094462	6227929862827094462759150096832263450737
91180249366	9118024936605179148533042104389977301926
prese	preserves
presa	presage
outweighed	outweighed
clau	clauses
2508396461328929584567927365409119947616	2508396461328929584567927365409119947616
almwr	almwroth
2823764648042953	2823764648042953118023287825098194558153
misrepresent	misrepresented
quir	quirky
9433090683667110655953338	9433090683667110655953338602938000999949
clam	clamshell
pluck	plucky
5823022574559749	5823022574559749442750676309263225299663
1923	1923538531051736669154087312467233440702
clai	claims
homel	homely
8218957909088650853824	8218957909088650853824908489044217555309
medical	medical
87380126740538923612230370779727	8738012674053892361223037077972702519134
lib	libtel
2411653980646	2411653980646785444273124462179491306502
7986563590796846219153	7986563590796846219153494458767717006377
lif	lifts
817128672058651482853172	8171286720586514828531727356906983993511
15125418664	1512541866488539616154205515237500042679
1563006364432111622483737910562361135883	1563006364432111622483737910562361135883
87586842504926903709342620	8758684250492690370934262028022399861803
3538595115206	3538595115206180903124169818207931461506
lin	links
besti	bestir
01827663362279781045	0182766336227978104546331131294044833570
beste	bested
viewpoi	viewpoint
bias	biased
liv	living
prit	prithee
693365365288058	6933653652880580156390360562722752187272
5743384575863883473583224253532814204782	5743384575863883473583224253532814204782
ravenous	ravenous
shrieks	shrieks
dogm	dogmatism
6364769430661725491	6364769430661725491861437009713875679402
fuln	fulness
162578	1625787047654312679066121664414228501744
2272181694051590421	2272181694051590421708921042875521886583
54385093967129918	5438509396712991806747190988531271072672
prid	pride
merit	merits
develop	develops
443868253	4438682533745889962375133378280532928272
4761451258158856961003033708119705834445	4761451258158856961003033708119705834445
70569069904579099814464	7056906990457909981446491936545632594965
roberts	roberts
400949282094386299461	4009492820943862994618834790932894161098
098251424452625159525148752	0982514244526251595251487527380563315096
fulf	fulfilment
tunnelin	tunneling
64253366	6425336666311433321645213882557346329366
dispo	dispositions
059150250759923986112243403120569997	0591502507599239861122434031205699978051
plugg	plugged
834019482932795750624399645272	8340194829327957506243996452725786244003
344709485680279058941	3447094856802790589419182996946772445626
254610824635193164778383707829521838964	2546108246351931647783837078295218389645
sable	sable
1952	1952907939613762110723849429061635760459
794425660243306461931200295312	7944256602433064619312002953123619348034
802072	8020728394418264502183131483366019384891
51609258845157720552328969783331264	5160925884515772055232896978333126427671
56165730	5616573018540492174771620516784865079135
3991179449924848091507100244407848286659	3991179449924848091507100244407848286659
lla	llama
convention	conventions
8996589374772875139337710556980245575	8996589374772875139337710556980245575743
35363404399914452949607283790073382499	3536340439991445294960728379007338249976
307099566226620303182649365733698419	3070995662266203031826493657336984195557
aidin	aiding
clea	cleaving
840857039781519981488223900	8408570397815199814882239005994891194647
63606368674	6360636867461196662034730460891727724004
043456066966456899746910	0434560669664568997469103739877128915933
licking	licking
81462236429	8146223642994939020732850720980409053000
1963	1963126752689163621363510326480772329149
disre	disrepute
0632	0632396604969145303273887874557905934937
3833585095366658	3833585095366658066055971483767738669225
664340270292908991434322	6643402702929089914343222392033348710826
fund	funds
5146417007698930562016350219269	5146417007698930562016350219269265316659
390581029411	3905810294116004986993077514285130212862
plugs	plugs
859120139536030167	8591201395360301678110413444411030903388
1125588453729063224423222287139122	1125588453729063224423222287139122012248
bibl	bibliography
clem	clementine
407194599632306025470790177	4071945996323060254707901774527513186809
925977	9259776281781828253720229201081864494483
05109987907196118528325567874	0510998790719611852832556787472942907151
cabbage	cabbages
plumm	plummer
782871	7828710664940156467014194371382386345472
4980318	4980318169828654166132873909074116734612
plume	plumes
851067	8510673615276261016026647772485083344719
incul	inculcating
1639483978119866155851962	1639483978119866155851962164876959363989
935549926713485031578238	9355499267134850315782388995675452879155
537123659928324818657392514294985	5371236599283248186573925142949855514151
81449126	8144912692535076821109873835219750773665
899001	8990017498629488833623898586321271765713
bespa	bespangled
1970	1970
7082859417475	7082859417475114926179367379999220181789
2306516267974471185795150657	2306516267974471185795150657386850408822
3694150848886750189315699484	3694150848886750189315699484983893605266
5216436	5216436594262960768570585698507157151317
1978	1978
phraseolo	phraseology
dislo	disloyalty
752301745088784885645741275	7523017450887848856457412750033533034161
061203337628695337924395471553	0612033376286953379243954715539421312102
384845712947673898562939376	3848457129476738985629393764191440703650
6631880502655592956	6631880502655592956812395968044929516661
perceivin	perceiving
mich	michigan
shuttle	shuttle
4155478105541780367735533544670303264	4155478105541780367735533544670303264696
1340230	1340230545508113902367680386497238999242
9046007728408	9046007728408622147475476532215055181164
quot	quoth
53763452105037	5376345210503709954529420552320788174493
245402759071962153757018706708373101224	2454027590719621537570187067083731012246
59879316368892300	5987931636889230098793127736178215424999
1989	1989115895548758648664570923172182587034
lod	lodgment
disor	disordered
74224615114060157601159102564490022	7422461511406015760115910256449002264980
22827666	2282766643092649005922498102910687594345
12700107609122815283	1270010760912281528326508984359568975961
lol	lolling
paperwork	paperwork
solar	solar
lop	lopped
634644477006787131066832	6346444770067871310668324178715562817791
migh	mighty
lot	lottor
1996	1996
disob	disobeyed
0665	0665416946657467357854831337701336289489
lox	loxias
pron	pronunciation
1992	1992963117195821262627236458009708099166
7408211307834360326940015	7408211307834360326940015926958459588297
prov	provoked
contradiction	contradictions
prob	problems
furt	furtively
clim	climes
447325437310	4473254373100206273846681235169101635925
06339423217625700763231391593497099469	0633942321762570076323139159349709946933
732554337298073561699861101	7325543372980735616998611019084720966007
783301298019	7833012980192255157050378521810552961623
proj	projects
trodd	trodden
incre	incredulously
clie	clients
683344173073150805440138894084087253197	6833441730731508054401388940840872531975
prof	profusion
208909104583727	2089091045837273862273007815666689142507
satiric	satirical
537123659	5371236599283248186573925142949855514151
unscrupulou	unscrupulous
51840445170	5184044517042701893819942434100905753762
mien	mien
furl	furlong
72238204977257	7223820497725773074545629791279061775316
interests	interests
listowne	listowner
irrepro	irreproachable
23479762673689855474944277949	2347976267368985547494427794991656010852
3327815789043860113780785081	3327815789043860113780785081102730494466
quick	quickness
91689499818985885295378744895195	9168949981898588529537874489519527097766
679010945311171202438903234102599375115	6790109453111712024389032341025993751158
doom	doomed
encomium	encomiums
481278485100414	4812784851004144784541646456849660669913
0690	0690694753343167780263220722626588184275
merry	merrymaking
3518041474	3518041474320536003692341790354407357030
0687	0687134311879618963747550336282093994934
02761669	0276166958278982913613535306291331427881
97683263945063323045219264504965	9768326394506332304521926450496517354667
68193441830	6819344183059870218805022591928180477752
4861401315385932206074518590960	4861401315385932206074518590960888428021
6937002783312	6937002783312365427450532283462669786446
4585748228606	4585748228606859593502657405750939203135
affr	affronted
4107259910648709897259362243300706760	4107259910648709897259362243300706760476
curiosity	curiosity
02223383490906676554168336907	0222338349090667655416833690795940940457
disho	dishonourable
874374355781966511716618	8743743557819665117166183308811291202452
9039	9039475168017709900129391137881248534255
9808095230775693588516160	9808095230775693588516160277195214889983
quibb	quibble
particular	particulars
5126766443218368832143458370854	5126766443218368832143458370854908224001
reuni	reunited
3780297272073624	3780297272073624396723985414448075728681
7676265683558625452697455260991024576619	7676265683558625452697455260991024576619
ample	ample
0694	0694005665340584887527005308832459182183
79442566024	7944256602433064619312002953123619348034
27898343289578416968	2789834328957841696889075623746728104480
thral	thrall
incor	incorrectly
4991028	4991028197595639557117530118234803041810
769637876249188528656866076005	7696378762491885286568660760056602560544
merri	merriments
paupe	paupers
9046	9046321367101161928217111502828016044880
6147945247390128028426466892294556649	6147945247390128028426466892294556649586
294523	2945234880983414766455593422094020597334
incon	inconveniently
98550574784712105350579	9855057478471210535057956490959316721675
180890184731175119942546059441677331577	1808901847311751199425460594416773315777
erth	erthrown
51464170076989305620163502192692	5146417007698930562016350219269265316659
801325224478246957913251892	8013252244782469579132518921226530560858
cloc	clockwork
curiositi	curiosities
temperaments	temperaments
93525803	9352580382422737761243690870987518914904
6999491804707804	6999491804707804967644868899809021237357
piles	piles
elvis	elvish
amply	amply
506028190245219117701863450517108	5060281902452191177018634505171087023903
821200860190436942	8212008601904369428956102301731743150352
7338237767914829203283196838105	7338237767914829203283196838105907715727
48699160	4869916077111131569725392943756732215758
96875	9687528340516906974194257614673978110715
clickin	clicking
xiii	xiii
jaybi	jaybird
464274460174738175296313458739390484560	4642744601747381752963134587393904845604
shuttin	shutting
86380157600724060164954708	8638015760072406016495470823313493615824
068713431187961896374755033628209399493	0687134311879618963747550336282093994934
400211320742198642917	4002113207421986429173836791762328264446
23302540860	2330254086076115859321603465240763923593
113719752273436545	1137197522734365458411622066281660256333
361690705614828098036324345	3616907056148280980363243454128229968275
4728958417658875534522793848029772	4728958417658875534522793848029772448571
5233795630	5233795630944144669822245702636711949328
44565485263566172019756	4456548526356617201975630015800497902234
751038478153906834371774	7510384781539068343717740714095628337554
lun	lunkhead
regulated	regulated
fiery	fiery
lur	lurking
768608	7686085347768149502299280938065840007311
961430	9614308381730362152064229783998253369802
precu	precursors
dirco	dircompg
32268192	3226819247351364635675861121295307464477
05294182969180235712054532823180927035	0529418296918023571205453282318092703564
5132574349	5132574349645106814796947826197014832043
allay	allays
45756330336556777374808644109969141827	4575633033655677737480864410996914182777
bind	binding
startled	startled
preci	precision
involvi	involving
469989966652573155637645862251862823	4699899666525731556376458622518628230920
outto	outtops
prece	precepts
preca	precautions
9997221703804617092894	9997221703804617092894579096271662260740
40361297299929126	4036129729992912630842812149152469877429
mila	milanese
clos	closing
66111042767193648183636053410874	6611104276719364818363605341087489710668
prud	prudent
595527	5955277349071783793421637012050054513263
mile	miles
501434558897071942586398772754	5014345588970719425863987727547109629537
24116539806467854442	2411653980646785444273124462179491306502
114852	1148520549336793686843083240412678922092
mili	militia
afie	afield
societie	societies
6156800773098441606135584370127757346370	6156800773098441606135584370127757346370
22764	2276467811753336102818780071021979442877
09769	0976904563415765733955495884489480936040
clog	clogs
74668968428340	7466896842834026487332908888817454530471
569261	5692614510885781224913961691253420291813
dose	dosed
229644317263587524548607563020667656942	2296443172635875245486075630206676569423
38077523189646894043	3807752318964689404303318214865563701469
518816948032210025	5188169480322100251542649463981287367765
190303973272546178231363633	1903039732725461782313636337592762265630
outru	outrun
21400	2140002195161134233705835911154521729372
duodeci	duodecimo
monte	montessori
47721482128157607275305173330963	4772148212815760727530517333096345590932
infirmities	infirmities
4009492820943862994618834790932894161	4009492820943862994618834790932894161098
947409392584073620582428	9474093925840736205824284934902475688335
monta	montanvert
30817511269898518840871856402	3081751126989851884087185640260353055837
0174340613952200724036588127982	0174340613952200724036588127982491432617
403901361073952	4039013610739524568624300809672046099554
966071296644383147912963592754296	9660712966443831479129635927542962712943
959468587453798950325736	9594685874537989503257362809837592216229
51840445170427018938199424341009057	5184044517042701893819942434100905753762
693700278331	6937002783312365427450532283462669786446
outri	outright
07132	0713218053398882813934604985053234047259
3113981109283158321693	3113981109283158321693156386745974744958
monst	monstrous
preac	preaching
07948803314	0794880331410992499071132416945042413912
56776280	5677628023346565854351219361896876831439
80457040380820770357387588	8045704038082077035738758852597604243460
_slav	_slaveholding
34725	3472525472435765919296994906167018906143
inconveniently	inconveniently
6132641882358603656905477	6132641882358603656905477334307091175915
731314	7313146387857817205661409023041499923248
ming	mingling
murmurings	murmurings
96801087899490506	9680108789949050665449154457795216603855
40561666867664402868	4056166686766440286821160729483030523646
709957407786789349311975204237	7099574077867893493119752042379250228513
631742	6317428632911963339913270908606507459526
involve	involves
9093	9093238118295411937545448509428621839424
weaponless	weaponless
foxes	foxes
557347894001955870	5573478940019558704784741658847364803865
327024255193915090	3270242551939150908360134623961233500108
mino	minors
4473254373100206273	4473254373100206273846681235169101635925
binh	binhexed
62567857535423994742791944	6256785753542399474279194425446646433155
doug	douglass
149513	1495138622752399389387349050826254724177
fieri	fieriest
07121	0712134539837113575009758544059395586617
870956708432252564	8709567084322525643338959978124021641899
94433082	9443308241243846160408284006424867072583
9626448772056043078634808	9626448772056043078634808885709143464793
041383	0413832411607226029983305353708761389396
lyn	lynxes
934157057086345073344397660	9341570570863450733443976604780386678461
6678819020855957081118538	6678819020855957081118538361661288487295
771695841956310957774852957983684475	7716958419563109577748529579836844756803
00537830461954063697184291	0053783046195406369718429161685827341222
lyr	lyrics
emergency	emergency
65629035511783994407096	6562903551178399440709617725671649197901
7833151318675891566830067921	7833151318675891566830067921021594733685
631757	6317570430114850873840485918501572643921
66861099	6686109943830499604374073231957844732548
813210484	8132104845187845162306239118780246040508
clue	clues
bird	birdsong
7128970829	7128970829395360832883050256072727563548
emergenci	emergencies
006148832545452819908256238805	0061488325454528199082562388058720428439
2133896861735924509208014653125297779	2133896861735924509208014653125297779661
60927576795873759207013915029216513	6092757679587375920701391502921651372085
5560395905	5560395905381507241627615047252487759578
monty	monty
13356244383818536627356378343692127	1335624438381853662735637834369212793547
4771881533	4771881533990204703674908435930908635477
4725046988	4725046988190814647532434236386386024794
mettern	metternich
00998893178153139466818820283683633738	0099889317815313946681882028368363373822
castaway	castaways
3057262211104583300	3057262211104583300789331698191603917150
608092696229889416304728778005474	6080926962298894163047287780054743798498
claimin	claiming
literall	literally
schaf	schaffer
4852528877442891851104	4852528877442891851104093746333590660233
swayi	swaying
mish	mishaps
86360606458459251269946557	8636060645845925126994655724839186564209
4264818473989215	4264818473989215627086095650629340405264
swaye	swayed
misl	misliking
misp	misplays
5692614510885781224913961	5692614510885781224913961691253420291813
7612288534739318960081096520	7612288534739318960081096520209015110457
07895591654981303729294446230637	0789559165498130372929444623063712843579
mist	misty
44630055	4463005504481849916996622087746140216157
14321400450513941428	1432140045051394142899835057603879934335
467651456689976279896062959251197636729	4676514566899762798960629592511976367290
56112	5611229018128471013791721512466742850006
64729148174	6472914817451053880601097875059255371523
blessedne	blessedness
35145076415353605194621122	3514507641535360519462112217000676321611
misd	misdirecting
24248361379647569248207	2424836137964756924820763213564273572616
sallies	sallies
3771705474725026	3771705474725026941732982890400239372879
207575128	2075751287742739928248669212856372400691
recommende	recommended
birt	birthplace
736743057451872	7367430574518726541401644692457679218575
5618085970100800816225574550391	5618085970100800816225574550391013219819
81712867205865148285317273	8171286720586514828531727356906983993511
0199373597	0199373597603704672457378809679398944937
clum	clumsy
847292909015468559163792696196841000	8472929090154685591637926961968410006765
5240828501201908310786780	5240828501201908310786780670618511457409
juras	juras
sheddin	shedding
interpret	interprets
45118386699646227888558173532213268766	4511838669964622788855817353221326876634
2545432741934959955695	2545432741934959955695902432790971743922
79535934	7953593440354945217396032709540771210733
discrim	discrimination
gnashes	gnashes
845768068704978	8457680687049780448241057997107715775790
896715766	8967157667726319644252493194180647242378
habea	habeat
136258	1362589418097880156773789513103131573611
1570446	1570446272317777886498067007235988895287
08535554	0853555405814715927322067756766921366408
division	divisions
11937932372453857209607582277178483	1193793237245385720960758227717848336161
48199022539902231591338814585148722512	4819902253990223159133881458514872251265
048956952928011	0489569529280112698632533646737179519363
9849646510582093923982948879	9849646510582093923982948879332036250944
enchantmen	enchantment
42740364665	4274036466594154400092799908634806622334
10380368991445381484562682604003	1038036899144538148456268260400345679824
76416498356631275187	7641649835663127518728182948655658524206
44137	4413708233391788611470822865753107853667
244203341	2442033414057441446459968236966118878411
miti	mitigate
62950718490427789258	6295071849042778925855274303522139683567
3777247276797	3777247276797635865806019396287718060679
27971466476760328471	2797146647676032847133298550194568977275
8424333555095822191	8424333555095822191286279720545546626709
bitn	bitnet
144395418253441269003331181914268	1443954182534412690033311819142680707351
3460377687292360013865695939523	3460377687292360013865695939523007680913
26940215940792448054125	2694021594079244805412553604313179926967
virtuous	virtuous
516092588451577205523289697833312642	5160925884515772055232896978333126427671
opens	opensesame
722298041707112256996310945945097765566	7222980417071122569963109459450977655664
170961550493338390452612404395517449	1709615504933383904526124043955174491368
senators	senators
017235181671568754163484949491289001	0172351816715687541634849494912890017393
9208952	9208952182644710514911419441192277010977
discree	discreet
84355364027643927779086	8435536402764392777908638966566390166776
dispensin	dispensing
sente	sentences
deepe	deepest
gentlema	gentleman
maa	maaia
gentleme	gentlemen
mae	maenads
intellige	intelligently
mai	mainz
senti	sentinel
01729390730335086902092251912444739327	0172939073033508690209225191244473932783
mam	mammon
0235304369941849146	0235304369941849146314093431738143640546
269582654478205	2695826544782056729877564263253215942944
369556193476385981877568	3695561934763859818775685591237623258084
921376794209627560883081	9213767942096275608830815094380307056660
upreachi	upreaching
37507984	3750798405112665897301814932106195076900
leisure	leisurely
mau	mauling
26679043961	2667904396142318529919891810655544124772
may	mayst
010731470653154201300583810458905	0107314706531542013005838104589050067645
0882773391472820	0882773391472820637945122602945157073671
742057	7420571828540901363257214375920546404718
3157447684338	3157447684338100457385008523652069340710
schol	scholarship
711809238440656353136182676923761613389	7118092384406563531361826769237616133892
498565	4985657055608784211964039972344556458607
842433355	8424333555095822191286279720545546626709
330452795466185509666618566470	3304527954661855096666185664709711344474
782368888557532506625426	7823688885575325066254262367702604215835
libso	libsoft
235065653233179773865666618	2350656532331797738656666181652390017664
499892	4998920868058257492796104841984443634632
6654535240882872675377591970745262	6654535240882872675377591970745262863228
4995886234281899707733276171783928034946	4995886234281899707733276171783928034946
687689641425960164689647106348074109	6876896414259601646896471063480741099285
mcc	mcclure
mcg	mcgowan
33456	3345637325956725335431617158653333984332
9589582881907490040331593436076189609	9589582881907490040331593436076189609669
135925574751353516066	1359255747513535160669108359443999692315
524082850120190	5240828501201908310786780670618511457409
02094839963994668	0209483996399466848337747067254836188482
